"","gamma_rate_closures_1.Var1","gamma_rate_closures_1.Var2","gamma_rate_closures_1.Freq","gamma_rate_closures_2.Var1","gamma_rate_closures_2.Var2","gamma_rate_closures_2.Freq","gamma_rate_closures_mixed.Var1","gamma_rate_closures_mixed.Var2","gamma_rate_closures_mixed.Freq","gamma_rate_closures_unbalanced.Var1","gamma_rate_closures_unbalanced.Var2","gamma_rate_closures_unbalanced.Freq","gamma_rate_closures_multirate.Var1","gamma_rate_closures_multirate.Var2","gamma_rate_closures_multirate.Freq","fixed_rate_closures_1.Var1","fixed_rate_closures_1.Var2","fixed_rate_closures_1.Freq","fixed_rate_closures_2.Var1","fixed_rate_closures_2.Var2","fixed_rate_closures_2.Freq","fixed_rate_closures_mixed.Var1","fixed_rate_closures_mixed.Var2","fixed_rate_closures_mixed.Freq","fixed_rate_closures_unbalanced.Var1","fixed_rate_closures_unbalanced.Var2","fixed_rate_closures_unbalanced.Freq","fixed_rate_closures_multirate.Var1","fixed_rate_closures_multirate.Var2","fixed_rate_closures_multirate.Freq"
"1","","      T1","Min.   :22.0  ","","      T1","Min.   :24.00  ","","      T1","Min.   :26.00  ","","      T1","Min.   :25.00  ","","      T1","Min.   :24.00  ","","      T1","Min.   :25.00  ","","      T1","Min.   :27.00  ","","      T1","Min.   :29.00  ","","      T1","Min.   :24.00  ","","      T1","Min.   :24.00  "
"2","","      T1","1st Qu.:28.0  ","","      T1","1st Qu.:28.00  ","","      T1","1st Qu.:31.00  ","","      T1","1st Qu.:30.00  ","","      T1","1st Qu.:31.00  ","","      T1","1st Qu.:31.00  ","","      T1","1st Qu.:35.75  ","","      T1","1st Qu.:35.75  ","","      T1","1st Qu.:34.00  ","","      T1","1st Qu.:32.75  "
"3","","      T1","Median :30.0  ","","      T1","Median :30.00  ","","      T1","Median :33.00  ","","      T1","Median :32.00  ","","      T1","Median :33.00  ","","      T1","Median :33.00  ","","      T1","Median :41.00  ","","      T1","Median :39.00  ","","      T1","Median :37.00  ","","      T1","Median :37.00  "
"4","","      T1","Mean   :29.9  ","","      T1","Mean   :30.38  ","","      T1","Mean   :32.99  ","","      T1","Mean   :32.38  ","","      T1","Mean   :33.43  ","","      T1","Mean   :32.97  ","","      T1","Mean   :41.84  ","","      T1","Mean   :40.26  ","","      T1","Mean   :38.37  ","","      T1","Mean   :37.13  "
"5","","      T1","3rd Qu.:31.0  ","","      T1","3rd Qu.:32.00  ","","      T1","3rd Qu.:34.00  ","","      T1","3rd Qu.:35.00  ","","      T1","3rd Qu.:36.00  ","","      T1","3rd Qu.:35.25  ","","      T1","3rd Qu.:46.25  ","","      T1","3rd Qu.:44.25  ","","      T1","3rd Qu.:42.00  ","","      T1","3rd Qu.:40.00  "
"6","","      T1","Max.   :40.0  ","","      T1","Max.   :42.00  ","","      T1","Max.   :43.00  ","","      T1","Max.   :43.00  ","","      T1","Max.   :43.00  ","","      T1","Max.   :44.00  ","","      T1","Max.   :71.00  ","","      T1","Max.   :63.00  ","","      T1","Max.   :66.00  ","","      T1","Max.   :58.00  "
"7","","      T2","Min.   :16.0  ","","      T2","Min.   :19.00  ","","      T2","Min.   :17.00  ","","      T2","Min.   :19.00  ","","      T2","Min.   :19.00  ","","      T2","Min.   :19.00  ","","      T2","Min.   :18.00  ","","      T2","Min.   :20.00  ","","      T2","Min.   :18.00  ","","      T2","Min.   :19.00  "
"8","","      T2","1st Qu.:23.0  ","","      T2","1st Qu.:22.75  ","","      T2","1st Qu.:22.00  ","","      T2","1st Qu.:22.00  ","","      T2","1st Qu.:23.00  ","","      T2","1st Qu.:22.00  ","","      T2","1st Qu.:24.00  ","","      T2","1st Qu.:24.00  ","","      T2","1st Qu.:25.00  ","","      T2","1st Qu.:24.00  "
"9","","      T2","Median :24.0  ","","      T2","Median :25.00  ","","      T2","Median :24.00  ","","      T2","Median :23.00  ","","      T2","Median :25.00  ","","      T2","Median :24.00  ","","      T2","Median :26.00  ","","      T2","Median :26.00  ","","      T2","Median :27.00  ","","      T2","Median :27.00  "
"10","","      T2","Mean   :24.3  ","","      T2","Mean   :24.67  ","","      T2","Mean   :23.79  ","","      T2","Mean   :23.44  ","","      T2","Mean   :24.83  ","","      T2","Mean   :24.54  ","","      T2","Mean   :26.86  ","","      T2","Mean   :26.60  ","","      T2","Mean   :28.07  ","","      T2","Mean   :28.27  "
"11","","      T2","3rd Qu.:26.0  ","","      T2","3rd Qu.:26.00  ","","      T2","3rd Qu.:25.00  ","","      T2","3rd Qu.:25.00  ","","      T2","3rd Qu.:27.00  ","","      T2","3rd Qu.:26.00  ","","      T2","3rd Qu.:30.00  ","","      T2","3rd Qu.:28.25  ","","      T2","3rd Qu.:30.25  ","","      T2","3rd Qu.:32.00  "
"12","","      T2","Max.   :33.0  ","","      T2","Max.   :34.00  ","","      T2","Max.   :31.00  ","","      T2","Max.   :32.00  ","","      T2","Max.   :32.00  ","","      T2","Max.   :32.00  ","","      T2","Max.   :42.00  ","","      T2","Max.   :39.00  ","","      T2","Max.   :43.00  ","","      T2","Max.   :49.00  "
"13","","      T3","Min.   :25.00  ","","      T3","Min.   :25.00  ","","      T3","Min.   :20.00  ","","      T3","Min.   :21.00  ","","      T3","Min.   :21.00  ","","      T3","Min.   :22.0  ","","      T3","Min.   :22.00  ","","      T3","Min.   :25.00  ","","      T3","Min.   :27.00  ","","      T3","Min.   :27.00  "
"14","","      T3","1st Qu.:30.00  ","","      T3","1st Qu.:30.00  ","","      T3","1st Qu.:24.75  ","","      T3","1st Qu.:24.00  ","","      T3","1st Qu.:27.00  ","","      T3","1st Qu.:27.0  ","","      T3","1st Qu.:32.00  ","","      T3","1st Qu.:31.00  ","","      T3","1st Qu.:37.00  ","","      T3","1st Qu.:37.00  "
"15","","      T3","Median :32.00  ","","      T3","Median :32.00  ","","      T3","Median :26.00  ","","      T3","Median :25.50  ","","      T3","Median :30.00  ","","      T3","Median :29.0  ","","      T3","Median :36.00  ","","      T3","Median :35.00  ","","      T3","Median :41.00  ","","      T3","Median :41.00  "
"16","","      T3","Mean   :32.35  ","","      T3","Mean   :32.43  ","","      T3","Mean   :26.13  ","","      T3","Mean   :25.61  ","","      T3","Mean   :29.64  ","","      T3","Mean   :29.3  ","","      T3","Mean   :36.38  ","","      T3","Mean   :35.03  ","","      T3","Mean   :42.00  ","","      T3","Mean   :41.94  "
"17","","      T3","3rd Qu.:34.00  ","","      T3","3rd Qu.:34.00  ","","      T3","3rd Qu.:28.00  ","","      T3","3rd Qu.:27.00  ","","      T3","3rd Qu.:32.00  ","","      T3","3rd Qu.:32.0  ","","      T3","3rd Qu.:40.00  ","","      T3","3rd Qu.:38.00  ","","      T3","3rd Qu.:46.25  ","","      T3","3rd Qu.:45.25  "
"18","","      T3","Max.   :44.00  ","","      T3","Max.   :47.00  ","","      T3","Max.   :36.00  ","","      T3","Max.   :33.00  ","","      T3","Max.   :39.00  ","","      T3","Max.   :47.0  ","","      T3","Max.   :56.00  ","","      T3","Max.   :54.00  ","","      T3","Max.   :64.00  ","","      T3","Max.   :67.00  "
